Id,Subscribers,CC,Views,Length,Automobile,Blog,Comedy,Entertainment,Food,Informative,News,Science,Tech,VideoGames,Title_Length,Title_Upper,Title_Digit,Title_Punct
thumbnails\images\Abroad in Japan\icwENiwT1zI,2560,1,5600,830,0,1,0,0,0,0,0,0,0,0,54,0.12962962962963,0.0555555555555556,0.0185185185185185
thumbnails\images\Abroad in Japan\j5gy6QLq8wg,2560,1,2400,752,0,1,0,0,0,0,0,0,0,0,33,0.151515151515152,0.0303030303030303,0
thumbnails\images\Abroad in Japan\l3ifRE7BQiM,2560,1,2600,634,0,1,0,0,0,0,0,0,0,0,54,0.111111111111111,0,0.0185185185185185
thumbnails\images\Abroad in Japan\mtnVU4BU39E,2560,1,3100,1116,0,1,0,0,0,0,0,0,0,0,29,0.586206896551724,0,0.0344827586206897
thumbnails\images\Abroad in Japan\nfpWAqK0YZE,2560,0,4300,1788,0,1,0,0,0,0,0,0,0,0,31,0.193548387096774,0.0645161290322581,0
thumbnails\images\Abroad in Japan\qKFep4ekvx0,2560,1,4700,827,0,1,0,0,0,0,0,0,0,0,35,0.142857142857143,0,0.0285714285714286
thumbnails\images\Abroad in Japan\tLExSqNNMPc,2560,1,2700,1107,0,1,0,0,0,0,0,0,0,0,33,0.303030303030303,0,0.0303030303030303
thumbnails\images\Abroad in Japan\tORfGTrr1ww,2560,0,2700,1058,0,1,0,0,0,0,0,0,0,0,65,0.123076923076923,0.0769230769230769,0.0307692307692308
thumbnails\images\Abroad in Japan\u240yK8_fVM,2560,1,2800,1046,0,1,0,0,0,0,0,0,0,0,59,0.11864406779661,0,0.0169491525423729
thumbnails\images\Abroad in Japan\ueTa3dytTuY,2560,1,3100,555,0,1,0,0,0,0,0,0,0,0,46,0.152173913043478,0.0217391304347826,0.0434782608695652
thumbnails\images\Abroad in Japan\wwH3rA8Evow,2560,1,3600,638,0,1,0,0,0,0,0,0,0,0,22,0.772727272727273,0,0.0454545454545455
thumbnails\images\Abroad in Japan\yWwfNmIIc_Q,2560,1,2500,578,0,1,0,0,0,0,0,0,0,0,43,0.116279069767442,0,0.0232558139534884
thumbnails\images\Austin Evans\-naamtpQ8lw,5240,1,7700,1285,0,0,0,0,0,0,0,0,1,0,25,0.4,0,0
thumbnails\images\Austin Evans\0SmVHslppDQ,5240,1,4600,373,0,0,0,0,0,0,0,0,1,0,25,0.16,0.04,0
thumbnails\images\Austin Evans\0Xi2rurVAvs,5240,1,5300,443,0,0,0,0,0,0,0,0,1,0,39,0.128205128205128,0.0769230769230769,0.0256410256410256
thumbnails\images\Austin Evans\16q8_32M03k,5240,1,6000,912,0,0,0,0,0,0,0,0,1,0,35,0.142857142857143,0,0
thumbnails\images\Austin Evans\4hCy4-G37jA,5240,1,5200,388,0,0,0,0,0,0,0,0,1,0,24,0.125,0.25,0.166666666666667
thumbnails\images\Austin Evans\4o_JjYV1OZE,5240,1,6100,700,0,0,0,0,0,0,0,0,1,0,37,0.27027027027027,0,0.0810810810810811
thumbnails\images\Austin Evans\5NX-U36VDis,5240,1,7100,322,0,0,0,0,0,0,0,0,1,0,29,0.172413793103448,0.0344827586206897,0
thumbnails\images\Austin Evans\5pP8TLwO_Ks,5240,1,9700,360,0,0,0,0,0,0,0,0,1,0,28,0.178571428571429,0,0
thumbnails\images\Austin Evans\6ghOAKzQMGY,5240,1,8600,491,0,0,0,0,0,0,0,0,1,0,32,0.15625,0.09375,0.03125
thumbnails\images\Austin Evans\7Fjn4GRw8qE,5240,1,16000,1405,0,0,0,0,0,0,0,0,1,0,46,0.152173913043478,0,0.0652173913043478
thumbnails\images\Austin Evans\E9-x3jRSQvQ,5240,1,7800,1323,0,0,0,0,0,0,0,0,1,0,32,0.15625,0.125,0
thumbnails\images\Austin Evans\FcX0pkXSKl4,5240,1,5100,595,0,0,0,0,0,0,0,0,1,0,30,0.1,0.1,0
thumbnails\images\Austin Evans\G_ZxvxtUwus,5240,1,8500,415,0,0,0,0,0,0,0,0,1,0,37,0.108108108108108,0,0
thumbnails\images\Austin Evans\HtJa9jJdzac,5240,1,12000,474,0,0,0,0,0,0,0,0,1,0,25,0.16,0.04,0
thumbnails\images\Austin Evans\KM0ZV1X9o7o,5240,1,10000,398,0,0,0,0,0,0,0,0,1,0,43,0.162790697674419,0,0.0697674418604651
thumbnails\images\Austin Evans\KrMvtS7DAlM,5240,1,8000,431,0,0,0,0,0,0,0,0,1,0,30,0.133333333333333,0,0
thumbnails\images\Austin Evans\N1uHX_WQsEY,5240,1,5200,272,0,0,0,0,0,0,0,0,1,0,43,0.162790697674419,0.0232558139534884,0.0465116279069767
thumbnails\images\Austin Evans\ObQhpDQzfXE,5240,1,7000,279,0,0,0,0,0,0,0,0,1,0,24,0.166666666666667,0.0416666666666667,0.0416666666666667
thumbnails\images\Austin Evans\PGqZkOveLb8,5240,1,6900,534,0,0,0,0,0,0,0,0,1,0,13,0.230769230769231,0,0.0769230769230769
thumbnails\images\Austin Evans\Q1UXZs-yWDc,5240,1,6900,425,0,0,0,0,0,0,0,0,1,0,26,0.307692307692308,0,0
thumbnails\images\Austin Evans\SzkHeDPTLOg,5240,1,5100,731,0,0,0,0,0,0,0,0,1,0,24,0.125,0.125,0.125
thumbnails\images\Austin Evans\TjP0UgI8CTg,5240,1,24000,852,0,0,0,0,0,0,0,0,1,0,19,0.473684210526316,0,0
thumbnails\images\Austin Evans\VmzQ2hdfQcs,5240,0,6000,301,0,0,0,0,0,0,0,0,1,0,41,0.146341463414634,0.0487804878048781,0.024390243902439
thumbnails\images\Austin Evans\X3XkG6GL_DM,5240,1,5100,508,0,0,0,0,0,0,0,0,1,0,24,0.166666666666667,0.0833333333333333,0.0416666666666667
thumbnails\images\Austin Evans\Y80ZTbjtz5c,5240,1,4600,703,0,0,0,0,0,0,0,0,1,0,17,0.176470588235294,0,0
thumbnails\images\Austin Evans\_RKYQdUUttc,5240,1,6100,486,0,0,0,0,0,0,0,0,1,0,42,0.119047619047619,0,0.0714285714285714
thumbnails\images\Austin Evans\r-7UBVzjO8Y,5240,1,5600,333,0,0,0,0,0,0,0,0,1,0,31,0.129032258064516,0,0.032258064516129
thumbnails\images\Austin Evans\s_Sf4wfwvzI,5240,0,4600,303,0,0,0,0,0,0,0,0,1,0,24,0.166666666666667,0.0416666666666667,0.0416666666666667
thumbnails\images\Austin Evans\tXqQs7oMwmg,5240,1,5100,474,0,0,0,0,0,0,0,0,1,0,27,0.259259259259259,0,0.037037037037037
thumbnails\images\BBC News\3VHTquIQBBo,11300,1,8700,483,0,0,0,0,0,0,1,0,0,0,46,0.108695652173913,0,0.0434782608695652
thumbnails\images\BBC News\6VixqvOcK8E,11300,0,10000,967,0,0,0,0,0,0,1,0,0,0,69,0.188405797101449,0,0.0434782608695652
thumbnails\images\BBC News\7WMebV5qt3s,11300,0,20000,131,0,0,0,0,0,0,1,0,0,0,41,0.121951219512195,0,0.0487804878048781
thumbnails\images\BBC News\CEwIHNNJZvo,11300,0,10000,207,0,0,0,0,0,0,1,0,0,0,59,0.0847457627118644,0,0.0338983050847458
thumbnails\images\BBC News\DDo4CA13LbY,11300,0,11000,496,0,0,0,0,0,0,1,0,0,0,57,0.157894736842105,0,0.0350877192982456
thumbnails\images\BBC News\JqhCAORmsaE,11300,0,10000,99,0,0,0,0,0,0,1,0,0,0,62,0.0967741935483871,0.0161290322580645,0.0806451612903226
thumbnails\images\BBC News\LKXvdyNz6L8,11300,0,8000,134,0,0,0,0,0,0,1,0,0,0,77,0.0909090909090909,0,0.038961038961039
thumbnails\images\BBC News\LQicq60aJaw,11300,0,12000,1226,0,0,0,0,0,0,1,0,0,0,57,0.228070175438596,0,0.0350877192982456
thumbnails\images\BBC News\LUwj1-1-M1Q,11300,0,20000,82,0,0,0,0,0,0,1,0,0,0,58,0.103448275862069,0,0.0862068965517241
thumbnails\images\BBC News\Mh4f9AYRCZY,11300,0,46000,44,0,0,0,0,0,0,1,0,0,0,48,0.1875,0,0.0208333333333333
thumbnails\images\BBC News\PLMSoD1riE0,11300,0,12000,571,0,0,0,0,0,0,1,0,0,0,91,0.0769230769230769,0,0.032967032967033
thumbnails\images\BBC News\PmV631kroUU,11300,0,11000,324,0,0,0,0,0,0,1,0,0,0,58,0.103448275862069,0,0.0344827586206897
thumbnails\images\BBC News\RwTAgom_VX8,11300,0,15000,432,0,0,0,0,0,0,1,0,0,0,68,0.117647058823529,0,0.0441176470588235
thumbnails\images\BBC News\TaliInOFKIA,11300,0,10000,674,0,0,0,0,0,0,1,0,0,0,77,0.0649350649350649,0,0.012987012987013
thumbnails\images\BBC News\UXR_bqyAy4E,11300,0,7800,707,0,0,0,0,0,0,1,0,0,0,95,0.0947368421052632,0,0.0105263157894737
thumbnails\images\BBC News\XDniN3k5aQ8,11300,0,12000,678,0,0,0,0,0,0,1,0,0,0,66,0.0909090909090909,0,0.0606060606060606
thumbnails\images\BBC News\Y5yCbi4qcpk,11300,0,7700,811,0,0,0,0,0,0,1,0,0,0,72,0.0972222222222222,0,0.0138888888888889
thumbnails\images\BBC News\_xgJL3LA-WE,11300,0,8100,35,0,0,0,0,0,0,1,0,0,0,58,0.120689655172414,0,0.0172413793103448
thumbnails\images\BBC News\k_tQk25pR60,11300,0,7600,299,0,0,0,0,0,0,1,0,0,0,41,0.121951219512195,0,0.024390243902439
thumbnails\images\BBC News\o0G0Eub6YmY,11300,0,9100,755,0,0,0,0,0,0,1,0,0,0,46,0.108695652173913,0.0434782608695652,0.0217391304347826
thumbnails\images\BBC News\qvIUa47x_Oc,11300,0,12000,177,0,0,0,0,0,0,1,0,0,0,86,0.116279069767442,0,0.0348837209302326
thumbnails\images\BBC News\t17O2AKa2FU,11300,0,8100,38,0,0,0,0,0,0,1,0,0,0,73,0.10958904109589,0,0.0410958904109589
thumbnails\images\BBC News\tbKp8OV6F64,11300,0,7800,881,0,0,0,0,0,0,1,0,0,0,38,0.157894736842105,0,0.0263157894736842
thumbnails\images\BBC News\u935ULhrwtQ,11300,0,12000,101,0,0,0,0,0,0,1,0,0,0,49,0.122448979591837,0,0.0408163265306122
thumbnails\images\BBC News\vvOI3dQ5a30,11300,0,21000,69,0,0,0,0,0,0,1,0,0,0,85,0.0588235294117647,0.0117647058823529,0.0235294117647059
thumbnails\images\BBC News\wSN8L2SrZOg,11300,0,59000,56,0,0,0,0,0,0,1,0,0,0,56,0.0892857142857143,0,0.0178571428571429
thumbnails\images\Barely Sociable\1R97tphpD_M,1000,0,1500,2884,0,0,0,0,0,1,0,0,0,0,91,0.153846153846154,0.010989010989011,0.010989010989011
thumbnails\images\Barely Sociable\1VZkiQUzITU,1000,0,2600,3492,0,0,0,0,0,1,0,0,0,0,40,0.175,0,0.025
thumbnails\images\Barely Sociable\1ci3l7pnfdk,1000,0,2900,1276,0,0,0,0,0,1,0,0,0,0,27,0.111111111111111,0,0.037037037037037
